"FCRbefore","clr_t"
1.533992,3.52579856586773
1.885317,1.92401729111413
1.934746,2.48953528481371
1.991127,0.462040594698727
1.762791,1.77803083070246
1.672667,-0.558626034356155
1.651363,1.3213926629119
1.570694,1.75868001964267
1.992254,-0.391682039451646
1.604922,2.34579854009179
1.782996,2.71508669791409
1.682672,2.57879524552501
1.816727,0.731041575497597
1.825095,0.665622982085351
1.731795,2.1381375136866
1.789639,0.322775474707308
1.553637,1.26979083010973
1.74767,3.12679940462717
1.669194,0.506622508878336
1.876723,2.71675985475489
1.905941,0.85220700563717
1.792453,2.40714240256453
1.589568,0.993234319021293
1.648161,-0.0656723477033934
1.602402,1.62606500570934
2.212606,-0.159375346555939
1.81348,2.03013023899594
1.837796,-0.228970665312888
1.792781,0.683590905872237
1.707602,2.19854326096428
1.691643,3.77052665779039
2.100184,1.04177417397211
1.774962,2.46636740459036
1.95173,1.07937165851073
2.093588,0.955231797385912
1.715766,2.42784831536086
1.561165,3.05164108991658
1.875512,1.37447006328024
1.620736,1.242090061279
1.785185,1.13627713760451
1.539048,1.34700918767719
1.676596,1.50162333001638
1.571145,1.65342633626569
2.237817,0.138670935168378
1.871309,3.55045956904847
1.896661,0.10299411139508
1.715334,3.21199916008682
1.650772,1.41242175976504
1.701565,3.54721170730397
1.963216,0.411989671731314
1.968026,2.86421582865792
1.950207,-0.672122005643014
1.853818,1.80266584891515
2.055111,2.99400956773311
1.937128,0.565044888204223
2.043071,0.0293502661059915
1.974533,1.04385480808706
